date,festival_name,region,event_type,importance
2026-07-16,IPL Match,South,IPL,Medium
2026-07-18,IPL Match,North,IPL,Medium
2026-07-19,IPL Match,West,IPL,Medium
2026-07-21,IPL Match,East,IPL,Medium
2026-07-22,IPL Match,South,IPL,Medium
2026-07-24,IPL Match,North,IPL,Medium
2026-07-25,IPL Match,West,IPL,Medium
2026-07-27,IPL Match,South,IPL,Medium
2026-07-28,IPL Match,North,IPL,Medium
2026-07-30,IPL Match,West,IPL,Medium
2026-07-31,IPL Match,South,IPL,Medium
2026-08-01,IPL Match,North,IPL,Medium
2026-08-02,IPL Match,West,IPL,Medium
2026-08-03,IPL Match,South,IPL,Medium
2026-08-05,IPL Match,North,IPL,Medium
2026-08-08,Muharram/Ashura,All,Festival,High
2026-08-08,Muharram/Ashura,All,Festival,High
2026-08-11,Raksha Bandhan (Rakhi),North,Festival,High
2026-08-11,Raksha Bandhan (Rakhi),North,Festival,High
2026-08-15,Independence Day,All,Festival,High
2026-08-15,Independence Day,All,Festival,High
2026-08-16,Parsi New Year,All,Festival,High
2026-08-16,Parsi New Year,All,Festival,High
2026-08-17,Raksha Bandhan,North,Festival,Very High
2026-08-18,Janmashtami (Smarta),All,Festival,High
2026-08-18,Janmashtami (Smarta),All,Festival,High
2026-08-19,Janmashtami,All,Festival,High
2026-08-19,Janmashtami,All,Festival,High
2026-08-22,Ganesh Chaturthi,West,Festival,Very High
2026-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,West,Festival,High
2026-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,West,Festival,High
2026-09-08,Onam,South,Festival,High
2026-09-08,Onam,South,Festival,High
2026-09-26,First Day of Sharad Navratri,West,Festival,High
2026-09-26,First Day of Sharad Navratri,West,Festival,High
2026-10-01,First Day of Durga Puja Festivities,East,Festival,High
2026-10-01,First Day of Durga Puja Festivities,East,Festival,High
2026-10-02,Maha Saptami,All,Festival,High
2026-10-02,Mahatma Gandhi Jayanti,All,Festival,High
